Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"06037222700","Census Tract 2227, Los Angeles County, California","ACSSF","ca","140","00","0004961",,,,,"06","037",,,"222700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037222700","Census Tract 2227",,,,289,101,10,42,24,0,112
"06037224010","Census Tract 2240.10, Los Angeles County, California","ACSSF","ca","140","00","0004962",,,,,"06","037",,,"224010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224010","Census Tract 2240.10",,,,2933,327,159,249,432,320,1446
"06037224020","Census Tract 2240.20, Los Angeles County, California","ACSSF","ca","140","00","0004963",,,,,"06","037",,,"224020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224020","Census Tract 2240.20",,,,2637,590,166,316,481,176,908
"06037224200","Census Tract 2242, Los Angeles County, California","ACSSF","ca","140","00","0004964",,,,,"06","037",,,"224200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224200","Census Tract 2242",,,,2388,162,100,310,479,595,742
"06037224310","Census Tract 2243.10, Los Angeles County, California","ACSSF","ca","140","00","0004965",,,,,"06","037",,,"224310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224310","Census Tract 2243.10",,,,2141,309,22,327,234,359,890
"06037224320","Census Tract 2243.20, Los Angeles County, California","ACSSF","ca","140","00","0004966",,,,,"06","037",,,"224320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224320","Census Tract 2243.20",,,,3125,585,118,609,525,125,1163
"06037224410","Census Tract 2244.10, Los Angeles County, California","ACSSF","ca","140","00","0004967",,,,,"06","037",,,"224410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224410","Census Tract 2244.10",,,,2842,414,233,353,208,532,1102
"06037224420","Census Tract 2244.20, Los Angeles County, California","ACSSF","ca","140","00","0004968",,,,,"06","037",,,"224420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224420","Census Tract 2244.20",,,,2377,243,231,415,631,247,610
"06037224600","Census Tract 2246, Los Angeles County, California","ACSSF","ca","140","00","0004969",,,,,"06","037",,,"224600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224600","Census Tract 2246",,,,3379,258,121,507,876,368,1249
"06037224701","Census Tract 2247.01, Los Angeles County, California","ACSSF","ca","140","00","0004970",,,,,"06","037",,,"224701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037224701","Census Tract 2247.01",,,,801,298,73,62,82,58,228
