Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10003_001,SE_A10002B_001,SE_A10002B_002,SE_A10002B_003,SE_A10002B_004,SE_A10002B_005,SE_A10002B_006,SE_A10002B_007,SE_A10002B_008,ACS21_5yr_B25009001,ACS21_5yr_B25009002,ACS21_5yr_B25009003,ACS21_5yr_B25009004,ACS21_5yr_B25009005,ACS21_5yr_B25009006,ACS21_5yr_B25009007,ACS21_5yr_B25009008,ACS21_5yr_B25009009,ACS21_5yr_B25009010,ACS21_5yr_B25009011,ACS21_5yr_B25009012,ACS21_5yr_B25009013,ACS21_5yr_B25009014,ACS21_5yr_B25009015,ACS21_5yr_B25009016,ACS21_5yr_B25009017,ACS21_5yr_B25009001s,ACS21_5yr_B25009002s,ACS21_5yr_B25009003s,ACS21_5yr_B25009004s,ACS21_5yr_B25009005s,ACS21_5yr_B25009006s,ACS21_5yr_B25009007s,ACS21_5yr_B25009008s,ACS21_5yr_B25009009s,ACS21_5yr_B25009010s,ACS21_5yr_B25009011s,ACS21_5yr_B25009012s,ACS21_5yr_B25009013s,ACS21_5yr_B25009014s,ACS21_5yr_B25009015s,ACS21_5yr_B25009016s,ACS21_5yr_B25009017s,ACS21_5yr_B19019001,ACS21_5yr_B19019002,ACS21_5yr_B19019003,ACS21_5yr_B19019004,ACS21_5yr_B19019005,ACS21_5yr_B19019006,ACS21_5yr_B19019007,ACS21_5yr_B19019008,ACS21_5yr_B19019001s,ACS21_5yr_B19019002s,ACS21_5yr_B19019003s,ACS21_5yr_B19019004s,ACS21_5yr_B19019005s,ACS21_5yr_B19019006s,ACS21_5yr_B19019007s,ACS21_5yr_B19019008s,ACS21_5yr_B25010001,ACS21_5yr_B25010002,ACS21_5yr_B25010003,ACS21_5yr_B25010001s,ACS21_5yr_B25010002s,ACS21_5yr_B25010003s
"06037920121","Census Tract 9201.21, Los Angeles County, California","ACSSF","ca","140","00","0006638",,,,,"06","037",,,"920121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920121","Census Tract 9201.21",,,,3.35,788,80,194,271,96,119,0,28,3103,2315,263,479,435,769,282,39,48,788,80,194,271,96,119,0,28,165.4545,171.5152,58.18182,89.69697,90.30303,119.3939,63.0303,21.21212,28.48485,117.5758,41.81818,50.90909,80.60606,35.15152,70.90909,12.72727,24.84848,142176,79215,135469,124521,198393,193872,,205833,15420,3348.48484848485,14009.696969697,16660.6060606061,33773.9393939394,18988.4848484848,,79740.6060606061,3.35,3.4,3.2,0.1212121,0.1393939,0.2545455
"06037920200","Census Tract 9202, Los Angeles County, California","ACSSF","ca","140","00","0006639",,,,,"06","037",,,"920200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920200","Census Tract 9202",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,11.51515,,,,,,,,,,,,,,,,,,,,,,
"06037920303","Census Tract 9203.03, Los Angeles County, California","ACSSF","ca","140","00","0006640",,,,,"06","037",,,"920303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920303","Census Tract 9203.03",,,,2.42,332,94,150,20,63,5,0,0,626,294,41,145,55,41,5,7,0,332,94,150,20,63,5,0,0,51.51515,43.63636,21.81818,41.81818,19.39394,16.9697,4.242424,7.878788,7.878788,41.21212,25.45455,36.9697,10.90909,29.69697,4.242424,7.878788,7.878788,120000,47750,180795,,92857,,,,16822.4242424242,20994.5454545455,58557.5757575758,,30592.1212121212,,,,2.42,2.59,2.27,0.1393939,0.2060606,0.2060606
"06037920312","Census Tract 9203.12, Los Angeles County, California","ACSSF","ca","140","00","0006641",,,,,"06","037",,,"920312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920312","Census Tract 9203.12",,,,2.9,1150,484,300,182,113,33,26,12,2232,1082,213,294,166,191,115,0,103,1150,484,300,182,113,33,26,12,180,138.7879,76.36364,50.90909,51.51515,46.66667,38.18182,11.51515,94.54546,159.3939,99.39394,63.63636,88.48485,43.0303,20.60606,24.24242,12.72727,83602,33894,67500,109929,143864,84389,,,10078.1818181818,829.69696969697,24490.303030303,57324.8484848485,48303.0303030303,14220,,,2.9,3.56,2.27,0.3454545,0.630303,0.169697
"06037920313","Census Tract 9203.13, Los Angeles County, California","ACSSF","ca","140","00","0006642",,,,,"06","037",,,"920313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920313","Census Tract 9203.13",,,,3.38,205,52,37,5,59,0,23,29,1551,1346,146,384,199,332,217,59,9,205,52,37,5,59,0,23,29,104.8485,115.1515,35.75758,50.90909,47.27273,57.57576,106.6667,25.45455,7.878788,48.48485,27.87879,15.75758,4.242424,36.36364,11.51515,21.81818,25.45455,136250,38214,99479,184722,156250,217946,170870,,17355.7575757576,21644.8484848485,16252.1212121212,24220.6060606061,40393.9393939394,37490.303030303,19919.3939393939,,3.38,3.3,3.93,0.1515152,0.1393939,0.8909091
"06037920314","Census Tract 9203.14, Los Angeles County, California","ACSSF","ca","140","00","0006643",,,,,"06","037",,,"920314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920314","Census Tract 9203.14",,,,3.31,334,12,106,26,80,60,7,43,1030,696,67,270,152,131,53,3,20,334,12,106,26,80,60,7,43,61.81818,52.12121,18.18182,49.09091,44.24242,29.09091,19.39394,3.636364,11.51515,63.0303,8.484848,27.87879,13.93939,41.81818,23.63636,6.060606,39.39394,120658,83438,131328,117024,171250,123125,,,9167.87878787879,30244.8484848485,11477.5757575758,37793.3333333333,35886.0606060606,35795.7575757576,,,3.31,3.07,3.79,0.1272727,0.1272727,0.3878788
"06037920322","Census Tract 9203.22, Los Angeles County, California","ACSSF","ca","140","00","0006644",,,,,"06","037",,,"920322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920322","Census Tract 9203.22",,,,2.94,180,105,35,9,18,13,0,0,981,801,108,275,77,216,84,29,12,180,105,35,9,18,13,0,0,76.36364,78.78788,27.87879,61.81818,31.51515,57.57576,42.42424,12.72727,13.33333,33.33333,30.30303,16.9697,9.090909,14.54545,8.484848,7.878788,7.878788,119338,,157083,113750,139750,,218603,,27652.7272727273,,30571.5151515152,49874.5454545455,40950.9090909091,,6426.66666666667,,2.94,3.14,2.03,0.1515152,0.1757576,0.3212121
"06037920326","Census Tract 9203.26, Los Angeles County, California","ACSSF","ca","140","00","0006645",,,,,"06","037",,,"920326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920326","Census Tract 9203.26",,,,2.83,1084,297,392,259,61,57,6,12,2233,1149,163,211,365,335,37,38,0,1084,297,392,259,61,57,6,12,115.7576,112.1212,48.48485,58.78788,104.8485,72.72727,27.87879,23.0303,11.51515,112.7273,67.87878,92.72727,87.27273,52.12121,25.45455,10.30303,11.51515,139073,69474,125224,216054,194141,,194853,,15276.3636363636,16496.3636363636,39381.8181818182,16406.0606060606,52867.2727272727,,35013.3333333333,,2.83,3.13,2.51,0.1454545,0.1878788,0.2242424
"06037920328","Census Tract 9203.28, Los Angeles County, California","ACSSF","ca","140","00","0006646",,,,,"06","037",,,"920328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920328","Census Tract 9203.28",,,,2.53,329,167,98,41,7,16,0,0,796,467,113,77,123,82,65,7,0,329,167,98,41,7,16,0,0,55.15152,49.09091,24.84848,17.57576,28.48485,27.27273,39.39394,6.060606,7.878788,32.12121,34.54546,21.81818,18.78788,6.060606,13.93939,7.878788,7.878788,109231,66667,84191,178261,234875,250001,,,27793.9393939394,20826.0606060606,25253.3333333333,21696.9696969697,51527.8787878788,,,,2.53,2.99,1.87,0.1939394,0.2606061,0.2121212
"06037920329","Census Tract 9203.29, Los Angeles County, California","ACSSF","ca","140","00","0006647",,,,,"06","037",,,"920329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037920329","Census Tract 9203.29",,,,2.45,1148,337,282,305,160,60,0,4,2716,1568,453,536,295,245,19,20,0,1148,337,282,305,160,60,0,4,167.8788,175.7576,123.6364,101.8182,83.0303,132.1212,14.54545,18.18182,11.51515,141.8182,84.84849,78.18182,101.8182,60,35.15152,11.51515,4.848485,105398,74255,95116,131759,148100,113633,,,13147.8787878788,14815.1515151515,14913.9393939394,22459.3939393939,12616.9696969697,6752.12121212121,,,2.45,2.37,2.55,0.1272727,0.2181818,0.1757576
